,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
248,,House,Apartment,495000,Yes,,meters,1,0,None,,None,None,None,,None,To be done up
249,,House,Apartment,Starting price : 499000,Yes,4,,0,,None,,None,None,None,2,None,Good
250,,House,Apartment,545000,Yes,2,160,1,0,None,,None,None,None,2,None,
251,,House,Apartment,890000,Yes,,,0,,None,,None,None,None,2,None,Good
252,,House,Apartment,1375000,Yes,,meters,0,0,None,,None,None,None,,None,
253,,House,Apartment,1600000,Yes,39,1827,0,0,None,,None,None,None,,None,Good
254,,House,Apartment,2950000,Yes,,meters,0,,None,1,None,None,None,2,None,As new
255,,House,Apartment,290000,Yes,2,85,0,0,None,,None,None,None,,None,
256,,House,Apartment,580000,Yes,4,170,0,0,None,,None,None,None,,None,
257,Liège,House,Apartment,135000,Yes,5,219,0,0,None,,None,None,None,2,None,To renovate
258,,House,Apartment,249000,Yes,3,150,0,0,None,,None,None,None,2,None,Good
259,,House,Apartment,285000,Yes,6,293,0,0,None,1,None,None,None,2,None,Good
260,,House,Apartment,285000,Yes,6,277,0,0,None,,None,None,None,3,None,To renovate
261,,,,None,,,,0,,None,,None,None,None,,None,
262,,,,None,,,,0,,None,,None,None,None,,None,
263,,House,Apartment,469000,Yes,5,195,0,,None,1,None,None,None,2,None,Good
264,,House,Apartment,572000,Yes,4,484,0,,None,,None,None,None,2,None,To renovate
265,,House,Apartment,575000,Yes,6,570,1,0,None,,None,None,None,,None,To restore
266,,House,Apartment,590000,Yes,9,165,0,1,None,,None,None,None,2,None,
267,,House,Apartment,679000,Yes,5,450,0,0,None,,None,None,None,2,None,To renovate
268,,House,Apartment,895000,Yes,9,,0,0,None,,None,None,None,,None,Good
269,,House,Apartment,900000,Yes,6,570,1,0,None,,None,None,None,,None,To restore
270,Bruxelles Sud,House,Apartment,1945000,Yes,7,570,1,0,None,1,None,None,None,2,None,Good
271,,House,Apartment,1900000,Yes,21,1075,1,0,None,,None,None,None,2,None,Good
272,Liège,House,Apartment,189500,Yes,7,216,0,0,None,,None,None,None,2,None,
273,,House,Apartment,450000,Yes,3,200,1,0,None,,None,None,None,2,None,
274,,House,Apartment,450000,Yes,6,375,0,,None,,None,None,None,,None,As new
275,,House,Apartment,450000,Yes,3,206,1,0,None,,None,None,None,2,None,To renovate
276,,House,Apartment,475000,Yes,4,,1,,None,1,None,None,None,3,None,Good
277,,House,Apartment,595000,Yes,5,320,0,,None,1,None,None,None,2,None,To restore
278,,House,Apartment,720000,Yes,23,,0,0,None,,None,None,None,,None,
279,,House,Apartment,925000,Yes,6,387,1,,None,,None,None,None,2,None,To be done up
280,,House,Apartment,399000,Yes,4,,0,0,None,1,None,None,None,2,None,To be done up
281,Mons,House,Apartment,420000,Yes,9,285,0,0,None,,None,None,None,2,None,Good
