,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
203,,House,Mixed-use,294500,Yes,2,145,0,0,None,,None,None,None,2,None,
204,Waremme,House,Mixed-use,399000,Yes,5,296,1,0,None,,None,None,None,4,None,To be done up
205,,House,Mixed-use,649000,Yes,5,265,0,0,None,,None,None,None,3,None,To be done up
206,,House,Mixed-use,690000,Yes,3,311,0,,None,,None,None,None,4,None,Good
207,,House,Mixed-use,179000,Yes,4,250,0,0,None,,None,None,None,2,None,To renovate
208,Jodoigne,House,Mixed-use,349000,Yes,3,,1,0,None,,None,None,None,2,None,Good
209,,House,Mixed-use,850000,Yes,8,342,0,0,None,,None,None,None,,None,Good
210,,House,Mixed-use,85000,Yes,3,170,0,0,None,,None,None,None,2,None,To renovate
211,,House,Mixed-use,218000,Yes,2,94,0,,None,,None,None,None,2,None,As new
212,,House,Mixed-use,250000,Yes,7,282,0,0,None,,None,None,None,4,None,To renovate
213,,House,Mixed-use,265000,Yes,,meters,0,0,None,,None,None,None,3,None,
214,,House,Mixed-use,395000,Yes,,meters,1,0,None,,None,None,None,4,None,Just renovated
215,,House,Mixed-use,399000,Yes,2,240,1,,None,1,None,None,None,2,None,Good
216,,House,Mixed-use,495000,Yes,,meters,0,0,None,,None,None,None,2,None,As new
217,,House,Mixed-use,750000,Yes,,meters,1,0,None,,None,None,None,4,None,Just renovated
218,,House,Mixed-use,890000,Yes,9,313,1,0,None,,None,None,None,3,None,To renovate
219,,House,Mixed-use,990000,Yes,7,,0,0,None,,None,None,None,2,None,To be done up
220,,House,Mixed-use,1500000,Yes,50,2600,0,0,None,,None,None,None,4,None,To be done up
221,,House,Mixed-use,2817145,Yes,3,3000,0,0,None,,None,None,None,,None,Good
222,,House,Mixed-use,780000,Yes,5,350,1,,None,,None,None,None,2,None,As new
223,,House,Mixed-use,1395000,Yes,,meters,0,0,None,,None,None,None,,None,
224,,House,Mixed-use,574000,Yes,2,195,0,,None,1,None,None,None,2,None,
225,,House,Mixed-use,No reserve price,Yes,6,205,0,,None,1,None,None,None,2,None,To renovate
226,,House,Mixed-use,118000,Yes,3,145,1,0,None,1,None,None,None,2,None,To be done up
227,Liège,House,Mixed-use,164500,Yes,4,216,0,0,None,,None,None,None,3,None,Good
228,,House,Mixed-use,172400,Yes,2,194,0,0,None,,None,None,None,3,None,To be done up
229,,House,Mixed-use,189000,Yes,3,105,1,0,None,,None,None,None,2,None,As new
230,,House,Mixed-use,189000,Yes,5,198,1,0,None,,None,None,None,2,None,Good
231,,House,Mixed-use,198000,Yes,3,,0,0,None,,None,None,None,2,None,
232,,House,Mixed-use,200000,Yes,3,180,1,0,None,,None,None,None,2,None,As new
233,,House,Mixed-use,249500,Yes,1,62,1,0,None,,None,None,None,,None,As new
234,,House,Mixed-use,275000,Yes,3,240,0,,None,1,None,None,None,2,None,To renovate
