,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
200,,House,Town-house,429000,No,4,176,1,0,None,,None,None,None,2,None,As new
201,,House,Town-house,430000,No,3,,0,0,None,,None,None,None,2,None,As new
202,,House,Town-house,389000,No,3,150,1,0,None,,None,None,None,,None,
203,,House,Town-house,239000,No,3,172,0,0,None,,None,None,None,,None,
204,,House,Town-house,299000,No,3,164,0,0,None,1,None,None,None,,None,Good
205,,House,Town-house,525000,No,5,239,0,0,None,,None,None,None,2,None,Just renovated
206,,House,Town-house,160000,No,3,,0,0,None,1,None,None,None,2,None,To be done up
207,,House,Town-house,249000,,3,,1,,None,1,None,None,None,2,None,Good
208,,House,Town-house,330000,No,3,130,1,0,None,,None,None,None,2,None,As new
209,,House,Town-house,280000,No,3,,1,,None,1,None,None,None,,None,As new
210,,House,Town-house,379000,No,4,217,0,,None,,None,None,None,,None,
211,Regio Zuidrand Antwerpen,House,Town-house,395000,No,4,181,0,,None,1,None,None,None,2,None,
212,,House,Town-house,190000,No,3,,0,0,None,,None,None,None,,None,To renovate
213,,House,Town-house,230000,No,3,,0,0,None,,None,None,None,2,None,Good
214,,House,Town-house,570000,No,4,,0,,None,,None,None,None,2,None,Good
215,,House,Town-house,598000,No,4,,0,0,None,,None,None,None,4,None,Good
216,,House,Town-house,199000,No,4,150,0,,None,1,None,None,None,2,None,To renovate
217,,House,Town-house,390000,No,3,,0,0,None,,None,None,None,2,None,As new
218,,House,Town-house,695000,No,3,436,0,0,None,1,None,None,None,4,None,
219,,House,Town-house,185000,No,2,125,0,0,None,,None,None,None,2,None,To be done up
220,,House,Town-house,190000,No,2,,1,0,None,,None,None,None,2,None,
221,,House,Town-house,249000,No,4,135,0,0,None,,None,None,None,2,None,Good
222,,House,Town-house,245000,No,3,,0,0,None,,None,None,None,2,None,
223,,House,New,From 595000 To 659000,No,,220,0,,None,,None,None,None,,None,
224,,House,Town-house,55000,No,2,112,0,,None,,None,None,None,2,None,
225,,House,Town-house,395000,No,3,135,1,0,None,,None,None,None,2,None,
226,,House,Town-house,415000,No,3,,0,0,None,,None,None,None,2,None,
227,,House,Town-house,195000,No,3,220,0,0,None,,None,None,None,3,None,As new
228,,House,Town-house,295000,No,3,140,0,0,None,1,None,None,None,3,None,
229,,House,Town-house,323000,,3,120,0,,None,,None,None,None,2,None,
230,,House,Town-house,410000,No,3,,0,0,None,,None,None,None,2,None,As new
231,,House,Town-house,369000,No,3,200,0,0,None,1,None,None,None,2,None,Good
232,,House,VSB,283000,No,,,0,,None,,None,None,None,,None,
233,,House,Town-house,525000,No,,,0,,None,,None,None,None,,None,
234,,House,Town-house,399000,No,3,177,1,,None,1,None,None,None,2,None,As new
235,Mariadal,House,Town-house,419000,No,3,142,0,0,None,1,None,None,None,3,None,As new
236,,House,Town-house,389000,No,3,145,0,,None,,None,None,None,3,None,Good
237,,House,Town-house,419000,No,3,158,0,,None,1,None,None,None,2,None,Good
238,Verviers,House,Town-house,290000,No,3,127,1,,None,,None,None,None,2,None,Good
239,,House,Town-house,285000,No,3,150,1,0,None,,None,None,None,2,None,Good
240,Park Mariadal,House,Town-house,319000,No,3,120,0,,None,,None,None,None,2,None,
241,,House,Town-house,410000,Yes,3,145,0,,None,1,None,None,None,2,None,Good
242,,House,Town-house,415000,No,3,156,0,,None,,None,None,None,2,None,As new
243,,House,Town-house,349000,No,3,130,1,0,None,,None,None,None,2,None,Good
244,,House,Town-house,350000,No,3,158,0,0,None,,None,None,None,2,None,Good
245,,House,Town-house,350000,Yes,3,245,1,0,None,,None,None,None,,None,Good
246,,House,Town-house,325000,No,3,224,1,0,None,,None,None,None,3,None,
247,,House,Town-house,395000,No,4,170,1,0,None,,None,None,None,2,None,Good
248,,House,Town-house,299900,No,2,160,1,0,None,,None,None,None,2,None,Good
249,,House,Town-house,395000,No,4,320,1,0,None,,None,None,None,4,None,Good
250,,House,Town-house,319000,Yes,4,199,0,0,None,,None,None,None,3,None,Good
251,,House,Town-house,438000,,4,185,1,0,None,,None,None,None,3,None,As new
252,,House,Town-house,349000,No,3,130,1,0,None,,None,None,None,2,None,Good
253,,House,Town-house,330000,No,3,218,0,0,None,,None,None,None,2,None,Good
254,,House,Town-house,279000,,3,195,1,0,None,,None,None,None,3,None,Good
255,,House,Town-house,475000,No,3,360,0,0,None,1,None,None,None,2,None,Good
256,,House,Town-house,510000,No,3,216,1,0,None,,None,None,None,2,None,Good
257,,House,Town-house,350000,No,2,90,0,,None,1,None,None,None,2,None,To renovate
258,,House,Town-house,269900,No,2,100,1,0,None,,None,None,None,2,None,To be done up
259,,House,Town-house,305000,No,4,145,1,0,None,,None,None,None,2,None,Good
260,,House,Town-house,335000,No,3,210,0,0,None,1,None,None,None,2,None,Good
261,,House,Town-house,369000,No,4,222,1,0,None,1,None,None,None,2,None,To be done up
262,,House,Town-house,369900,No,3,148,1,0,None,,None,None,None,2,None,Good
263,,House,Town-house,375000,No,3,204,1,0,None,,None,None,None,2,None,Good
264,,House,Town-house,380000,No,3,155,1,0,None,,None,None,None,3,None,Good
265,,House,Town-house,440000,No,5,200,1,0,None,,None,None,None,2,None,Good
266,,House,Town-house,235000,No,2,150,1,0,None,,None,None,None,2,None,Just renovated
267,,House,Town-house,299000,No,4,189,0,0,None,1,None,None,None,2,None,As new
268,,House,Town-house,346000,No,3,160,1,0,None,,None,None,None,3,None,As new
269,,House,Town-house,465000,No,3,220,0,0,None,1,None,None,None,2,None,Good
270,,House,Town-house,480000,No,4,140,0,0,None,,None,None,None,2,None,To renovate
271,,House,Town-house,498000,No,5,232,0,0,None,,None,None,None,2,None,Good
272,,House,Town-house,269000,No,3,140,0,0,None,1,None,None,None,3,None,To be done up
273,,House,Town-house,219000,,3,150,1,0,None,,None,None,None,2,None,Good
274,,House,Town-house,175000,,2,,0,,None,1,None,None,None,2,None,To be done up
275,,House,Town-house,330000,No,3,178,1,0,None,1,None,None,None,2,None,Good
276,,House,Town-house,374900,No,4,170,1,0,None,,None,None,None,2,None,Just renovated
277,,House,Town-house,450000,No,3,,0,0,None,,None,None,None,,None,To renovate
278,,House,Town-house,370000,No,4,160,0,0,None,,None,None,None,2,None,Good
279,,House,Town-house,175000,No,3,,0,0,None,,None,None,None,3,None,Good
280,,House,Town-house,219000,No,3,127,0,0,None,,None,None,None,2,None,To be done up
281,Omgeving Aalst,House,Town-house,229000,No,2,184,0,0,None,,None,None,None,2,None,Good
282,Angleur,House,Town-house,319000,No,3,180,1,,None,1,None,None,None,2,None,To restore
283,,House,Town-house,545000,No,6,222,1,0,None,,None,None,None,2,None,
